"V1","V2","V3","V4","V5","V6","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X0.10","X0.11","X0.12","X0.13"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,44,-16,36,42,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,-10,64,52,0,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-22,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,40,30,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,66,-18,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,100,100,100,80,100,100,100,100,100,40,100,100,-100,100,100,-100,-100,-40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
